DATE,LATITUDE,LONGITUDE,INJURED,KILLED,PED_INJURED,PED_KILLED,CYC_INJURED,CYC_KILLED,MOT_INJURED,MOT_KILLED
05/06/2017,40.884212,-73.90215,0,0,0,0,0,0,0,0
05/06/2017,40.88586,-73.85693,0,0,0,0,0,0,0,0
05/06/2017,40.66992,-73.85967,0,0,0,0,0,0,0,0
05/06/2017,40.60496,-73.94377,0,0,0,0,0,0,0,0
05/06/2017,40.72267,-73.98297,0,0,0,0,0,0,0,0
05/06/2017,40.788303,-73.81699,0,0,0,0,0,0,0,0
05/06/2017,40.878536,-73.83381,0,0,0,0,0,0,0,0
05/06/2017,40.75307,-73.79238,7,0,0,0,0,0,7,0
05/06/2017,40.64606,-74.01648,0,0,0,0,0,0,0,0
05/06/2017,40.645256,-73.874954,0,0,0,0,0,0,0,0
05/06/2017,40.60769,-74.08945,0,0,0,0,0,0,0,0
05/06/2017,40.59813,-74005,0,0,0,0,0,0,0,0
05/06/2017,40.549477,-74.14933,0,0,0,0,0,0,0,0
05/06/2017,40.679245,-73.94228,0,0,0,0,0,0,0,0
05/06/2017,40.755222,-73.98501,0,0,0,0,0,0,0,0
05/06/2017,40.73509,-73.87411,0,0,0,0,0,0,0,0
05/06/2017,40.642044,-73.98124,1,0,0,0,0,0,1,0
05/06/2017,40.540184,-74.22359,0,0,0,0,0,0,0,0
05/06/2017,40.60327,-73.959145,0,0,0,0,0,0,0,0
05/06/2017,40.826797,-73.82237,0,0,0,0,0,0,0,0
05/06/2017,40.710682,-73.98471,0,0,0,0,0,0,0,0
05/06/2017,40.732735,-73.981514,0,0,0,0,0,0,0,0
05/06/2017,40.712616,-73.96951,0,0,0,0,0,0,0,0
05/06/2017,40.69885,-73.95783,1,0,0,0,0,0,1,0
05/06/2017,40.679565,-73.93436,0,0,0,0,0,0,0,0
05/06/2017,40.851498,-73.942535,0,0,0,0,0,0,0,0
05/06/2017,40.724873,-73.953445,1,0,0,0,0,0,1,0
05/06/2017,40.808407,-73.908844,0,0,0,0,0,0,0,0
05/06/2017,40.58697,-73.94907,0,0,0,0,0,0,0,0
05/06/2017,40.66151,-73.8702,0,0,0,0,0,0,0,0
05/06/2017,40.68899,-73.92651,1,0,0,0,1,0,0,0
05/06/2017,40.87122,-73.85558,1,0,0,0,0,0,1,0
05/06/2017,40.75939,-73.98508,0,0,0,0,0,0,0,0
05/06/2017,40.72227,-73.9411,0,0,0,0,0,0,0,0
05/06/2017,40.763542,-73.9852,0,0,0,0,0,0,0,0
05/06/2017,40.756535,-73.876076,0,0,0,0,0,0,0,0
05/06/2017,40.675632,-73.89878,0,0,0,0,0,0,0,0
05/06/2017,40.592026,-74.19011,0,0,0,0,0,0,0,0
05/06/2017,40.87406,-73.90897,0,0,0,0,0,0,0,0
05/06/2017,40.65862,-73.8905,0,0,0,0,0,0,0,0
05/06/2017,40.73927,-73.99545,0,0,0,0,0,0,0,0
05/06/2017,40.704212,-73.773994,0,0,0,0,0,0,0,0
05/06/2017,40.68161,-73.7964,0,0,0,0,0,0,0,0
05/06/2017,40.671024,-73.76921,3,0,0,0,0,0,3,0
05/06/2017,40.76002,-73.83487,0,0,0,0,0,0,0,0
05/06/2017,40.786068,-73.83744,0,0,0,0,0,0,0,0
05/06/2017,40.643215,-74.008705,0,0,0,0,0,0,0,0
05/06/2017,40.828125,-73.84105,0,0,0,0,0,0,0,0
05/06/2017,40.75533,-73.99119,0,0,0,0,0,0,0,0
05/06/2017,40.639717,-73.99083,0,0,0,0,0,0,0,0
05/06/2017,40.64093,-73.91842,0,0,0,0,0,0,0,0
05/06/2017,40.67816,-73.897484,0,0,0,0,0,0,0,0
05/06/2017,40.761192,-73.98549,0,0,0,0,0,0,0,0
05/06/2017,40.736885,-73.90372,0,0,0,0,0,0,0,0
05/06/2017,40.703136,-73.8365,0,0,0,0,0,0,0,0
05/06/2017,40.685837,-73.82686,0,0,0,0,0,0,0,0
05/06/2017,40.726006,-73.75173,0,0,0,0,0,0,0,0
05/06/2017,40.697002,-73.84386,0,0,0,0,0,0,0,0
05/06/2017,40.60913,-73.95741,0,0,0,0,0,0,0,0
05/06/2017,40.890656,-73.85119,1,0,0,0,0,0,1,0
05/06/2017,40.68358,-73.97617,0,0,0,0,0,0,0,0
05/06/2017,40.68674,-73.94749,1,0,1,0,0,0,0,0
05/06/2017,40.61847,-74.021225,0,0,0,0,0,0,0,0
05/06/2017,40.690826,-73.93012,0,0,0,0,0,0,0,0
05/06/2017,40.704388,-73.994576,2,0,0,0,0,0,2,0
05/06/2017,40.68659,-74.00842,3,0,0,0,0,0,3,0
05/06/2017,40.88176,-73.82324,1,0,0,0,0,0,1,0
05/06/2017,40.719746,-73.74152,0,0,0,0,0,0,0,0
05/06/2017,40.672783,-73.87189,0,0,0,0,0,0,0,0
05/06/2017,40.624874,-74.14334,0,0,0,0,0,0,0,0
05/06/2017,40.753307,-73.827385,0,0,0,0,0,0,0,0
05/06/2017,40.62661,-74.16138,0,0,0,0,0,0,0,0
05/06/2017,40.848637,-73.91169,3,0,0,0,0,0,3,0
05/06/2017,40.850494,-73.91546,0,0,0,0,0,0,0,0
05/06/2017,40.765053,-73.772736,0,0,0,0,0,0,0,0
05/06/2017,40.71235,-73.89129,0,0,0,0,0,0,0,0
05/06/2017,40.650227,-73.92827,0,0,0,0,0,0,0,0
05/06/2017,40.85916,-73.89177,0,0,0,0,0,0,0,0
05/06/2017,40.699978,-73.98779,0,0,0,0,0,0,0,0
05/06/2017,40.641945,-73.916626,0,0,0,0,0,0,0,0
05/06/2017,40.90686,-73.904106,2,0,0,0,0,0,2,0
05/06/2017,40.72195,-73.81185,0,0,0,0,0,0,0,0
05/06/2017,40.75469,-73.993484,0,0,0,0,0,0,0,0
05/06/2017,40.680214,-73.94628,0,0,0,0,0,0,0,0
05/06/2017,40.635307,-74.00974,0,0,0,0,0,0,0,0
05/06/2017,40.747234,-73.99337,0,0,0,0,0,0,0,0
05/06/2017,40.730053,-73.79353,0,0,0,0,0,0,0,0
05/06/2017,40.803593,-73.919785,0,0,0,0,0,0,0,0
05/06/2017,40.70235,-73.98471,1,0,0,0,1,0,0,0
05/06/2017,40.825966,-73.862175,0,0,0,0,0,0,0,0
05/06/2017,40.765675,-73.97624,0,0,0,0,0,0,0,0
05/06/2017,40.75313,-73.71528,1,0,0,0,1,0,0,0
05/06/2017,40.65831,-73.93075,0,0,0,0,0,0,0,0
05/06/2017,40.750294,-73.99485,0,0,0,0,0,0,0,0
05/06/2017,40.779804,-73.98448,0,0,0,0,0,0,0,0
05/06/2017,40.725937,-74.01103,0,0,0,0,0,0,0,0
05/06/2017,40.745823,-73.77242,4,0,0,0,0,0,4,0
05/06/2017,40.859875,-73.89323,0,0,0,0,0,0,0,0
05/06/2017,40.635307,-74.00974,0,0,0,0,0,0,0,0
05/06/2017,40.75787,-73.78827,0,0,0,0,0,0,0,0
05/06/2017,40.70768,-73.74512,0,0,0,0,0,0,0,0
05/06/2017,40.838142,-73.851234,0,0,0,0,0,0,0,0
05/06/2017,40.663517,-73.957214,0,0,0,0,0,0,0,0
05/06/2017,40.594925,-73.95852,0,0,0,0,0,0,0,0
05/06/2017,40.653873,-74.008156,0,0,0,0,0,0,0,0
05/06/2017,40.669975,-73.91988,0,0,0,0,0,0,0,0
05/06/2017,40.74339,-73.98615,0,0,0,0,0,0,0,0
05/06/2017,40.77987,-73.8144,0,0,0,0,0,0,0,0
05/06/2017,40.719547,-73.73809,0,0,0,0,0,0,0,0
05/06/2017,40.74403,-73.85869,1,0,0,0,1,0,0,0
05/06/2017,40.711147,-73.91818,0,0,0,0,0,0,0,0
05/06/2017,40.62587,-74.13456,0,0,0,0,0,0,0,0
05/06/2017,40828,-73.84701,0,0,0,0,0,0,0,0
05/06/2017,40.525543,-74.20547,0,0,0,0,0,0,0,0
05/06/2017,40.8444,-73.90159,0,0,0,0,0,0,0,0
05/06/2017,40.74163,-73.87774,1,0,1,0,0,0,0,0
05/06/2017,40.642384,-73.92539,1,0,0,0,0,0,1,0
05/06/2017,40.77548,-73.82452,0,0,0,0,0,0,0,0
05/06/2017,40.755753,-73.883514,0,0,0,0,0,0,0,0
05/06/2017,40.76635,-73.88756,1,0,0,0,0,0,1,0
05/06/2017,40.721977,-73.959946,0,0,0,0,0,0,0,0
05/06/2017,40.62501,-74.16144,0,0,0,0,0,0,0,0
05/06/2017,40.626976,-74.131134,0,0,0,0,0,0,0,0
05/06/2017,40.739445,-73.81589,0,0,0,0,0,0,0,0
05/06/2017,40.55959,-74.16958,0,0,0,0,0,0,0,0
05/06/2017,40.638542,-73.92604,0,0,0,0,0,0,0,0
05/06/2017,40.72227,-73.9411,0,0,0,0,0,0,0,0
05/06/2017,40.78866,-73.778625,0,0,0,0,0,0,0,0
05/06/2017,40.79522,-73.921524,0,0,0,0,0,0,0,0
05/06/2017,40.829052,-73.85038,1,0,1,0,0,0,0,0
05/06/2017,40.72091,-73.88805,2,0,0,0,0,0,2,0
05/06/2017,40.709755,-73.95707,1,0,0,0,1,0,0,0
05/06/2017,40.604206,-73.99146,0,0,0,0,0,0,0,0
05/06/2017,40.84845,-73.88342,0,0,0,0,0,0,0,0
05/06/2017,40.62139,-73.99555,0,0,0,0,0,0,0,0
05/06/2017,40.801323,-73.936195,0,0,0,0,0,0,0,0
05/06/2017,40.642384,-73.92539,2,0,0,0,0,0,2,0
05/06/2017,40.70671,-73.94988,0,0,0,0,0,0,0,0
05/06/2017,40.735516,-73.87584,0,0,0,0,0,0,0,0
05/06/2017,40.607185,-74.16239,0,0,0,0,0,0,0,0
05/06/2017,40.748436,-73.984566,0,0,0,0,0,0,0,0
05/06/2017,40.73559,-73.92451,2,0,0,0,0,0,2,0
05/06/2017,40.64295,-73.95356,1,0,0,0,0,0,1,0
05/06/2017,40.699436,-73.91229,0,0,0,0,0,0,0,0
05/06/2017,40.764896,-73.97256,0,0,0,0,0,0,0,0
05/06/2017,40.890076,-73.819855,0,0,0,0,0,0,0,0
05/06/2017,40.883343,-73.81614,1,0,0,0,0,0,1,0
05/06/2017,40.760456,-73.98374,0,0,0,0,0,0,0,0
05/06/2017,40.666008,-73.789536,0,0,0,0,0,0,0,0
05/06/2017,40.689648,-73.9184,0,0,0,0,0,0,0,0
